"Dte.","Barris","2003-2007","2004-2008","2005-2009","2006-2010","2007-2011","2008-2012","2009-2013","2010-2014","2011-2015"
"BARCELONA",,1359,1381,1404,1363,1310,1231,1128,1061,1026
1,"1. el Raval",76,77,80,78,79,73,66,59,54
1,"2. el Barri Gòtic",19,16,13,10,9,3,4,3,5
1,"3. la Barceloneta",15,14,17,18,15,9,9,7,4
1,"4. Sant Pere, Santa Caterina i la Ribera",24,27,23,24,25,19,17,18,16
2,"5. el Fort Pienc",15,11,15,12,10,11,10,6,6
2,"6. la Sagrada Família",28,20,17,16,16,22,21,17,16
2,"7. la Dreta de l'Eixample",10,10,7,6,5,2,4,3,10
2,"8. l'Antiga Esquerra de l'Eixample",13,17,16,14,14,14,10,7,8
2,"9. la Nova Esquerra de l'Eixample",19,21,21,18,18,22,14,15,14
2,"10. Sant Antoni",23,22,21,23,24,19,18,16,13
3,"11. el Poble Sec - Parc Montjuïc",54,47,47,47,45,44,38,38,28
3,"12. la Marina del Prat Vermell - Zona Franca",6,5,6,6,7,5,5,4,3
3,"13. la Marina de Port",32,31,28,30,35,30,32,29,25
3,"14. la Font de la Guatlla",4,1,1,0,0,1,2,2,3
3,"15. Hostafrancs",24,24,24,20,21,17,17,13,12
3,"16. la Bordeta",15,18,23,22,24,21,17,12,12
3,"17. Sants - Badal",11,10,13,17,19,22,28,27,23
3,"18. Sants",28,27,35,35,37,39,32,25,22
4,"19. les Corts",10,9,10,9,8,7,7,6,6
4,"20. la Maternitat i Sant Ramon",5,3,4,4,6,9,11,11,11
4,"21. Pedralbes",1,0,1,1,3,4,4,3,3
5,"22. Vallvidrera, el Tibidabo i les Planes",3,2,2,1,0,1,1,1,1
5,"23. Sarrià",7,12,19,18,17,16,17,10,11
5,"24. les Tres Torres",3,2,2,2,0,0,0,0,0
5,"25. Sant Gervasi - la Bonanova",4,2,3,3,2,1,1,0,1
5,"26. Sant Gervasi - Galvany",9,9,7,5,4,6,5,5,4
5,"27. el Putxet i el Farró",7,7,7,8,8,5,4,6,4
6,"28. Vallcarca i els Penitents",9,7,5,7,6,5,5,5,4
6,"29. el Coll",2,3,4,3,5,4,3,2,4
6,"30. la Salut",5,4,5,3,4,2,2,1,2
6,"31. la Vila de Gràcia",31,30,25,22,19,24,20,26,29
6,"32. el Camp d'en Grassot i Gràcia Nova",15,12,13,12,12,11,11,9,8
7,"33. el Baix Guinardó",10,13,14,15,17,16,14,15,15
7,"34. Can Baró",6,6,6,5,4,2,4,2,2
7,"35. el Guinardó",26,27,30,31,32,31,26,20,23
7,"36. la Font d'en Fargues",1,1,1,2,2,2,2,1,0
7,"37. el Carmel",24,29,31,33,37,39,39,41,40
7,"38. la Teixonera",15,14,12,11,13,11,9,10,11
7,"39. Sant Genís dels Agudells",6,5,4,4,2,0,0,1,2
7,"40. Montbau",2,1,1,0,2,2,2,2,2
7,"41. la Vall d'Hebron",2,2,1,1,1,1,0,0,0
7,"42. la Clota",1,1,0,0,0,0,0,1,1
7,"43. Horta",12,12,16,13,18,16,16,12,15
8,"44. Vilapicina i la Torre Llobeta",18,20,20,16,17,16,17,15,14
8,"45. Porta",25,24,30,28,32,28,31,22,22
8,"46. el Turó de la Peira",19,24,27,28,33,37,32,29,27
8,"47. Can Peguera",8,11,11,5,6,5,3,5,5
8,"48. la Guineueta",5,6,7,7,7,8,6,5,4
8,"49. Canyelles",2,4,6,8,7,8,5,4,2
8,"50. les Roquetes",34,33,41,43,55,52,57,56,54
8,"51. Verdun",22,24,25,25,25,22,18,17,18
8,"52. la Prosperitat",24,23,21,21,25,21,20,23,23
8,"53. la Trinitat Nova",17,20,20,19,25,25,19,23,28
8,"54. Torre Baró",18,17,15,11,10,8,6,10,9
8,"55. Ciutat Meridiana",32,35,42,43,41,40,35,31,31
8,"56. Vallbona",2,1,1,3,2,6,6,7,5
9,"57. la Trinitat Vella",16,20,25,23,27,19,19,17,19
9,"58. Baró de Viver",9,8,6,6,5,6,8,8,7
9,"59. el Bon Pastor",24,26,26,25,22,19,15,16,17
9,"60. Sant Andreu",24,22,22,23,25,23,23,24,22
9,"61. la Sagrera",23,23,19,20,19,20,18,20,18
9,"62. el Congrés i els Indians",3,4,4,5,5,4,4,5,5
9,"63. Navas",10,10,9,9,7,8,8,10,11
10,"64. el Camp de l'Arpa del Clot",25,28,29,28,37,36,30,30,29
10,"65. el Clot",18,18,17,13,12,11,12,12,11
10,"66. el Parc i la Llacuna del Poblenou",8,9,9,7,4,3,3,1,2
10,"67. la Vila Olímpica del Poblenou",1,3,3,2,2,2,0,0,0
10,"68. el Poblenou",18,16,16,14,17,21,19,16,12
10,"69. Diagonal Mar i el Front Marítim del Poblenou",5,8,7,6,6,5,2,2,2
10,"70. el Besòs i el Maresme",39,43,36,43,38,42,40,44,44
10,"71. Provençals del Poblenou",16,18,21,20,16,20,16,13,14
10,"72. Sant Martí de Provençals",20,23,20,24,20,18,17,18,16
10,"73. la Verneda i la Pau",17,22,24,25,23,23,21,19,16
,"No consta",225,227,215,204,115,87,71,68,66
